From,To,Imax
n1,n2,73.36175257
n2,n3,56.86875175
n2,n19,0.599011245
n3,n4,29.15662682
n3,n23,3.938290733
n4,n5,26.62276934
n5,n6,31.31879289
n6,n7,5.483668586
n6,n26,8.166431958
n7,n8,3.938290733
n8,n9,2.396048258
n9,n10,2.041603075
n10,n11,1.663922675
n11,n12,1.417780732
n12,n13,1.064911429
n13,n14,0.7975033
n14,n15,0.354445183
n15,n16,0.208334915
n16,n17,0.113816199
n17,n18,0.042596588
n19,n20,0.354445183
n20,n21,0.157531302
n21,n22,0.040973858
n23,n24,3.333362566
n24,n25,0.833339003
n26,n27,6.655684146
n27,n28,6.452490662
n28,n29,5.671136034
n29,n30,4.22692901
n30,n31,0.984571045
n31,n32,0.403281076
n32,n33,0.020416031
